Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,3509.669922,3515.459961,3509.669922,3509.669922,3509.669922,0
2020-09-04,3515.459961,3515.459961,3507.229980,3515.459961,3515.459961,0
2020-09-07,3551.600098,3551.600098,3498.560059,3551.600098,3551.600098,0
2020-09-08,3498.560059,3498.560059,3495.270020,3498.560059,3498.560059,0
2020-09-09,3549.429932,3555.479980,3495.270020,3549.429932,3549.429932,0
2020-09-10,3556.500000,3556.500000,3497.360107,3556.500000,3556.500000,0
2020-09-11,3564.469971,3564.469971,3520.850098,3564.469971,3564.469971,0
2020-09-14,3572.520020,3574.770020,3538.659912,3572.520020,3572.520020,0
2020-09-15,3580.659912,3585.760010,3542.719971,3580.659912,3580.659912,0
2020-09-16,3576.399902,3585.590088,3544.699951,3576.399902,3576.399902,0
2020-09-17,3567.030029,3567.030029,3536.300049,3567.030029,3567.030029,0
2020-09-18,3595.199951,3603.169922,3534.000000,3595.199951,3595.199951,0
2020-09-21,3578.540039,3587.969971,3518.489990,3578.540039,3578.540039,0
2020-09-22,3558.739990,3558.739990,3518.489990,3558.739990,3558.739990,0
2020-09-23,3549.399902,3549.399902,3518.689941,3549.399902,3549.399902,0
2020-09-24,3547.350098,3547.350098,3518.689941,3547.350098,3547.350098,0
2020-09-25,3570.070068,3570.659912,3520.669922,3570.070068,3570.070068,0
2020-09-28,3556.439941,3556.439941,3520.669922,3556.439941,3556.439941,0
2020-09-29,3557.969971,3580.679932,3521.209961,3557.969971,3557.969971,0
2020-09-30,3582.530029,3582.530029,3533.520020,3582.530029,3582.530029,0
2020-10-01,3571.500000,3571.500000,3526.229980,3571.500000,3571.500000,0
2020-10-02,3569.219971,3569.219971,3521.550049,3569.219971,3569.219971,0
2020-10-05,3562.899902,3562.899902,3517.010010,3562.899902,3562.899902,0
2020-10-06,3570.270020,3570.270020,3500.600098,3570.270020,3570.270020,0
2020-10-07,3561.729980,3561.729980,3491.139893,3561.729980,3561.729980,0
2020-10-08,3491.139893,3538.929932,3491.139893,3491.139893,3491.139893,0
2020-10-09,3536.060059,3536.060059,3495.379883,3536.060059,3536.060059,0
2020-10-12,3552.419922,3552.419922,3498.540039,3552.419922,3552.419922,0
2020-10-13,3498.540039,3552.560059,3498.540039,3498.540039,3498.540039,0
2020-10-14,3526.969971,3536.820068,3496.949951,3526.969971,3526.969971,0
2020-10-15,3562.800049,3562.800049,3552.899902,3552.899902,3552.899902,0
